ISBN;AccessionNum;LoanID;Title;Genre;Category;Publisher;Author;Author;OnLoan;Stock;Language;YearOfPublication;Yazar ISBN Kodu
ISBN_000000000000001;ACCS_000000000000001;LOAN_000000000000001;1984;Distopya Roman;?ngiliz Edebiyat?;Can Yay?nlar?;George Orwell;George;Orwell;0;Türkçe;45419,51396;100001
ISBN_000000000000001;ACCS_000000000000002;LOAN_000000000000002;1984;Distopya Roman;?ngiliz Edebiyat?;Türkiye ?? Bankas? Kültür Yay?nlar?;George Orwell;George;Orwell;0;Türkçe;45449,44418;100001
ISBN_000000000000001;ACCS_000000000000003;LOAN_000000000000003;1984;Distopya Roman;?ngiliz Edebiyat?;T.C. ?stanbul Valili?i;George Orwell;George;Orwell;0;Türkçe;45415,52066;100001
ISBN_000000000000001;ACCS_000000000000004;LOAN_000000000000004;1984;Distopya Roman;?ngiliz Edebiyat?;Alt?n Kitaplar;George Orwell;George;Orwell;0;Türkçe;44525,49157;100001
ISBN_000000000000002;ACCS_000000000000005;LOAN_000000000000005;2312;Bilimkurgu;Dünya Edebiyat?;?nk?lap Yay?nlar?;K?m Stanley Robinson;K?m Stanley;Robinson;0;Türkçe;45419,54109;100002
ISBN_000000000000003;ACCS_000000000000006;LOAN_000000000000006; Aile ?çinde;Ki?isel Geli?im / Sohbet;Türk Edebiyat?;Can Yay?nlar?;Hyati ?nanç/Bekir Develi;Hyati ?nanç/Bekir;Develi;0;Türkçe;45415,53605;100003
ISBN_000000000000004;ACCS_000000000000007;LOAN_000000000000007; Ana;Roman / Dünya Klasikleri;Rus Edebiyat?;Can Yay?nlar?;Maksim Gorki;Maksim;Gorki;0;Türkçe;45449,42125;100004
ISBN_000000000000005;ACCS_000000000000008;LOAN_000000000000008; A?k Ve Gurur;Roman / Dünya Klasikleri;?ngiliz Edebiyat?;Can Yay?nlar?;Jane Austen;Jane;Austen;0;Türkçe;45415,50972;100005
ISBN_000000000000006;ACCS_000000000000009;LOAN_000000000000009; Aziz ?stanbul;Deneme / Edebiyat;Türk Edebiyat?;Can Yay?nlar?;Yahya Kemal;Yahya;Kemal;0;Türkçe;45449,40081;100006
ISBN_000000000000007;ACCS_000000000000010;LOAN_000000000000010; Barbaros Hayrettin Pa?a;Tarih / Biyografi;Türk Edebiyat?;Can Yay?nlar?;Ebubekir Su Ba??;Ebubekir Su;Ba??;0;Türkçe;45449,42845;100007
ISBN_000000000000008;ACCS_000000000000011;LOAN_000000000000011; Bastan Ve Gülistan;Do?u Klasikleri / ?iir-Hikaye;Fars Edebiyat?;Can Yay?nlar?;Saadi ?irazi;Saadi;?irazi;0;Türkçe;45429,42731;100008
