LoanID;Title;Genre;Category;Publisher;Author;NumberOfPages;OnLoan;Stock;Language;YearOfPublication
LOAN_000000000000001;1984;Distopya Roman;?ngiliz Edebiyat?;Can Yay?nlar?;George Orwell;;0;0;Türkçe;45419,51396
LOAN_000000000000002;1984;Distopya Roman;?ngiliz Edebiyat?;Türkiye ?? Bankas? Kültür Yay?nlar?;George Orwell;329;0;0;Türkçe;45449,44418
LOAN_000000000000003;1984;Distopya Roman;?ngiliz Edebiyat?;T.C. ?stanbul Valili?i;George Orwell;350;0;0;Türkçe;45415,52066
LOAN_000000000000004;1984;Distopya Roman;?ngiliz Edebiyat?;Alt?n Kitaplar;George Orwell;350;0;0;Türkçe;44525,49157
LOAN_000000000000005;2312;Bilimkurgu;Dünya Edebiyat?;?nk?lap Yay?nlar?;K?m Stanley Robinson;;0;0;Türkçe;45419,54109
LOAN_000000000000006; Aile ?çinde;Ki?isel Geli?im / Sohbet;Türk Edebiyat?;Can Yay?nlar?;Hyati ?nanç/Bekir Develi;141;0;0;Türkçe;45415,53605
LOAN_000000000000007; Ana;Roman / Dünya Klasikleri;Rus Edebiyat?;Can Yay?nlar?;Maksim Gorki;416;0;0;Türkçe;45449,42125
LOAN_000000000000008; A?k Ve Gurur;Roman / Dünya Klasikleri;?ngiliz Edebiyat?;Can Yay?nlar?;Jane Austen;;0;0;Türkçe;45415,50972
LOAN_000000000000009; Aziz ?stanbul;Deneme / Edebiyat;Türk Edebiyat?;Can Yay?nlar?;Yahya Kemal;193;0;0;Türkçe;45449,40081
LOAN_000000000000010; Barbaros Hayrettin Pa?a;Tarih / Biyografi;Türk Edebiyat?;Can Yay?nlar?;Ebubekir Su Ba??;324;0;0;Türkçe;45449,42845
LOAN_000000000000011; Bastan Ve Gülistan;Do?u Klasikleri / ?iir-Hikaye;Fars Edebiyat?;Can Yay?nlar?;Saadi ?irazi;398;0;0;Türkçe;45429,42731
LOAN_000000000000012; Bedenin ?ifa Kap?lar?;Ki?isel Geli?im / Sa?l?k;Türk Edebiyat?;Can Yay?nlar?;Ebru Demirhan;271;0;0;Türkçe;45419,52598
LOAN_000000000000013; Be? ?air;Edebiyat / ?nceleme;Türk Edebiyat?;Can Yay?nlar?;Sadettin Kaplan;388;0;0;Türkçe;45429,39086
LOAN_000000000000014; Be? ?ehir;Deneme / Edebiyat;Türk Edebiyat?;Can Yay?nlar?;Ahmet Hamdi Tanp?nar;224;0;0;Türkçe;45449,40149
LOAN_000000000000015; Beyaz ?iirler;?iir;Türk Edebiyat?;Can Yay?nlar?;Perihan Beyaz;;0;0;Türkçe;45449,42932
LOAN_000000000000016; Beyhude Ömrüm;Roman / Öykü;Türk Edebiyat?;Can Yay?nlar?;Mustafa Kutlu;209;0;0;Türkçe;45419,53993
LOAN_000000000000017; Bilinçli Genç Olmak;Ki?isel Geli?im / Psikoloji;Türk Edebiyat?;Can Yay?nlar?;Nevzat Tarhan;160;0;0;Türkçe;45415,54503
LOAN_000000000000018; Bir Aziz Mahmud Hüdayi Roman? Ene;Tarihi Roman / Tasavvuf;Türk Edebiyat?;Can Yay?nlar?;Fatih Duman;254;0;0;Türkçe;45443,47977
LOAN_000000000000019; Bir Bayrak Rüzgar Bekliyor;?iir;Türk Edebiyat?;Can Yay?nlar?;Arif Nihat Asya;;0;0;Türkçe;45419,54847
LOAN_000000000000020; Bir Cihan Hükümdar? Fatih Sultan Mehmed;Tarih / Biyografi;Türk Edebiyat?;Yeditepe;Erhan Afyoncu;205;0;0;Türkçe;45443,55632
LOAN_000000000000021; Bir Çanakkale Destan?/ Denizde Kopan F?rt?na;Çocuk ve Gençlik / Tarihi Öykü;Türk Edebiyat?;Can Yay?nlar?;Tuna Duran;101;0;0;Türkçe;45419,50639
LOAN_000000000000022; Bir Gencin Dram?;Roman / Klasik Öykü;Rus Edebiyat?;Yeditepe;Tolstoy;;0;0;Türkçe;45449,40647
LOAN_000000000000023; Bir Kalbi K?r?lmaktan Koruyabilsem;Deneme / Edebiyat;Türk Edebiyat?;Kap? Yay?nlar?;Kemal Sayar;326;0;0;Türkçe;45419,54245
LOAN_000000000000024; Bir Tereddüdün Roman?;Roman / Psikolojik Roman;Türk Edebiyat?;Kap? Yay?nlar?;Peyami Safa;;0;0;Türkçe;45449,44561
LOAN_000000000000025; Birden Bine;Edebiyat / Etimoloji Denemesi;Türk Edebiyat?;Kap? Yay?nlar?;As?m Gültekin;128;0;0;Türkçe;45434,49773
LOAN_000000000000026; Biz ?nsanlar;Roman;Türk Edebiyat?;Kap? Yay?nlar?;Payam? Safa;;0;0;Türkçe;45434,49929
LOAN_000000000000027; Bizim Akdeniz;Gezi Yaz?s? / An?;Türk Edebiyat?;Kap? Yay?nlar?;Falih R?fk? Atay;55;0;0;Türkçe;45415,49928
LOAN_000000000000028; Bo?aziçi'nde K?rk Y?l?m;An? / Tarih;Türk Edebiyat?;Kap? Yay?nlar?;Haluk Dursun;143;0;0;Türkçe;45449,4044
LOAN_000000000000029; Bozgunda Fetih Rüyas?;Biyografi / Roman;Türk Edebiyat?;Kap? Yay?nlar?;Be?ir Ayvazo?lu;446;0;0;Türkçe;45415,53098
LOAN_000000000000030; Bozk?rdaki Çekirdek;Tarih;Türk Edebiyat?;Kap? Yay?nlar?;Kemal Tahir;451;0;0;Türkçe;45443,55744
LOAN_000000000000031; Bozkurtlar;E?itim / An?;Türk Edebiyat?;Kap? Yay?nlar?;Hüseyin Nihal Ats?z;590;0;0;Türkçe;45415,53171
LOAN_000000000000032; Bülbülü Öldürmek;Tarihi Roman;?ngiliz Edebiyat?;Kap? Yay?nlar?;Harper Lee;358;0;0;Türkçe;45447,37557
LOAN_000000000000033; Bülbülü Öldürmek;Roman / Dünya Klasi?i;?ngiliz Edebiyat?;Epsilon Yay?nevi;Harper Lee;358;0;0;Türkçe;45429,38238
LOAN_000000000000034; Bütün ?iirleri;Roman / Dünya Klasi?i;Türk Edebiyat?;Epsilon Yay?nevi;Orhan Veli;251;0;0;Türkçe;45429,36564
LOAN_000000000000035; Büyük Selçuklular;?iir;Türk Edebiyat?;Epsilon Yay?nevi;Cihan Piyadeo?lu;;0;0;Türkçe;45429,38113
LOAN_000000000000036; Cennete Otostop;Tarih / Ara?t?rma;Türk Edebiyat?;Mecra;Adem Özkese;191;0;0;Türkçe;45429,36748
